P1 P2 P3 P4 P5 $x1$ $x2$ 
10 0 0 0 10 3152.0 0.39100000000325963 
10 1 1 0 10 3152.0 0.6089999999967404 
10 2 2 0 10 3152.0 0.48399999999674037 
10 3 3 0 10 3152.0 0.40599999998812564 
10 4 4 0 10 3152.0 0.40700000000651926 
10 5 5 0 10 3152.0 0.4220000000059372 
10 6 6 0 10 3152.0 0.40699999999196734 
10 7 7 0 10 3152.0 0.42199999999138527 
10 8 8 0 10 3152.0 0.4539999999979045 
10 9 9 0 10 3152.0 0.46899999999732245 
10 10 10 0 10 3152.0 0.46899999999732245 
10 11 11 0 10 3152.0 0.4380000000091968 
10 12 12 0 10 3152.0 0.46899999999732245 
10 13 13 0 10 3152.0 0.46899999999732245 
10 14 14 0 10 3152.0 0.45300000000861473 
10 15 15 0 10 3152.0 0.4529999999940628 
10 16 16 0 10 3152.0 0.4850000000005821 
10 17 17 0 10 3152.0 0.5 
10 18 18 0 10 3152.0 0.46899999999732245 
10 19 19 0 10 3152.0 0.4380000000091968 
10 20 20 0 10 3152.0 0.5 
10 21 21 0 10 3152.0 0.48399999999674037 
10 22 22 0 10 3152.0 0.46799999999348074 
10 23 23 0 10 3152.0 0.46799999999348074 
10 24 24 0 10 3152.0 0.4850000000005821 
10 25 25 0 10 3152.0 0.5 
10 26 26 0 10 3152.0 0.6559999999881256 
10 27 27 0 10 3152.0 0.625 
10 28 28 0 10 3152.0 0.6560000000026776 
10 29 29 0 10 3152.0 0.7660000000032596 
10 30 30 0 10 3152.0 0.6089999999967404 
10 31 31 0 10 3152.0 0.6410000000032596 
10 32 32 0 10 3152.0 0.6559999999881256 
10 33 33 0 10 3152.0 0.625 
10 34 34 0 10 3152.0 0.6399999999994179 
10 35 35 0 10 3152.0 0.625 
10 36 36 0 10 3152.0 0.6410000000032596 
10 37 37 0 10 3152.0 0.6089999999967404 
10 38 38 0 10 3152.0 0.6089999999967404 
10 39 39 0 10 3152.0 0.625 
10 40 40 0 10 3152.0 0.6089999999967404 
10 41 41 0 10 3152.0 0.6879999999946449 
10 42 42 0 10 3152.0 0.6100000000005821 
10 43 43 0 10 3152.0 0.6089999999967404 
10 44 44 0 10 3152.0 0.6410000000032596 
10 45 45 0 10 3152.0 0.6410000000032596 
10 46 46 0 10 3152.0 0.6410000000032596 
10 47 47 0 10 3152.0 0.7030000000086147 
10 48 48 0 10 3152.0 0.75 
10 49 49 0 10 3152.0 0.8429999999934807 
10 50 50 0 10 3152.0 0.75 
10 51 51 0 10 3152.0 0.8589999999967404 
10 52 52 0 10 3152.0 0.8120000000053551 
10 53 53 0 10 3152.0 0.7189999999973224 
10 54 54 0 10 3152.0 0.8129999999946449 
10 55 55 0 10 3152.0 0.7350000000005821 
10 56 56 0 10 3152.0 0.875 
10 57 57 0 10 3152.0 0.875 
10 58 58 0 10 3152.0 0.7809999999881256 
10 59 59 0 10 3152.0 0.7969999999913853 
10 60 60 0 10 3152.0 0.7189999999973224 
10 61 61 0 10 3152.0 0.75 
10 62 62 0 10 3152.0 0.7189999999973224 
10 63 63 0 10 3152.0 0.8129999999946449 
10 64 64 0 10 3152.0 0.9220000000059372 
10 65 65 0 10 3152.0 0.8280000000086147 
10 66 66 0 10 3152.0 0.7660000000032596 
10 67 67 0 10 3152.0 0.75 
10 68 68 0 10 3152.0 0.7970000000059372 
10 69 69 0 10 3152.0 0.75 
10 70 70 0 10 3152.0 0.75 
10 71 71 0 10 3152.0 0.7649999999994179 
10 72 72 0 10 3152.0 0.75 
10 73 73 0 10 3152.0 0.6879999999946449 
10 74 74 0 10 3152.0 0.7190000000118744 
10 75 75 0 10 3152.0 0.75 
10 76 76 0 10 3152.0 0.7660000000032596 
10 77 77 0 10 3152.0 0.7189999999973224 
10 78 78 0 10 3152.0 0.7030000000086147 
10 79 79 0 10 3152.0 0.75 
10 80 80 0 10 3152.0 0.7340000000112923 
10 81 81 0 10 3152.0 0.7180000000080327 
10 82 82 0 10 3152.0 0.7179999999934807 
10 83 83 0 10 3152.0 0.7029999999940628 
10 84 84 0 10 3152.0 0.7030000000086147 
10 85 85 0 10 3152.0 0.7339999999967404 
10 86 86 0 10 3152.0 0.7339999999967404 
10 87 87 0 10 3152.0 0.75 
10 88 88 0 10 3152.0 0.75 
10 89 89 0 10 3152.0 0.7970000000059372 
10 90 90 0 10 3152.0 0.7339999999967404 
10 91 91 0 10 3152.0 0.75 
10 92 92 0 10 3152.0 0.8119999999908032 
10 93 93 0 10 3152.0 0.9539999999979045 
10 94 94 0 10 3152.0 0.9370000000053551 
10 95 95 0 10 3152.0 0.9219999999913853 
10 96 96 0 10 3152.0 0.9219999999913853 
10 97 97 0 10 3152.0 0.9379999999946449 
10 98 98 0 10 3152.0 1.0 
10 99 99 0 10 3152.0 1.0319999999919673 
10 100 100 0 10 3152.0 0.9839999999967404 
10 101 101 0 10 3152.0 1.0 
10 102 102 0 10 3152.0 1.1560000000026776 
10 103 103 0 10 3152.0 1.1560000000026776 
10 104 104 0 10 3152.0 1.0940000000118744 
10 105 105 0 10 3152.0 1.1409999999887077 
10 106 106 0 10 3152.0 1.1569999999919673 
10 107 107 0 10 3152.0 1.110000000000582 
10 108 108 0 10 3152.0 1.2189999999973224 
10 109 109 0 10 3152.0 1.1560000000026776 
10 110 110 0 10 3152.0 1.2970000000059372 
10 111 111 0 10 3152.0 1.2660000000032596 
10 112 112 0 10 3152.0 1.3590000000112923 
10 113 113 0 10 3152.0 1.0939999999973224 
10 114 114 0 10 3152.0 1.0780000000086147 
10 115 115 0 10 3152.0 1.25 
10 116 116 0 10 3152.0 1.1720000000059372 
10 117 117 0 10 3152.0 1.2029999999940628 
10 118 118 0 10 3152.0 1.687999999994645 
10 119 119 0 10 3152.0 1.9060000000026776 
10 120 120 0 10 3152.0 1.937000000005355 
10 121 121 0 10 3152.0 1.8429999999934807 
10 122 122 0 10 3152.0 2.1090000000112923 
10 123 123 0 10 3152.0 1.8589999999967404 
10 124 124 0 10 3152.0 2.264999999999418 
10 125 125 0 10 3152.0 2.577999999994063 
