P1 P2 P3 P4 P5 $x1$ $x2$ 
20 0 0 0 10 6171.0 1.7030000000086147 
20 1 1 0 10 6171.0 1.6410000000032596 
20 2 2 0 10 6171.0 1.625 
20 3 3 0 10 6171.0 1.610000000000582 
20 4 4 0 10 6171.0 1.625 
20 5 5 0 10 6171.0 1.6089999999967404 
20 6 6 0 10 6171.0 1.5780000000086147 
20 7 7 0 10 6171.0 1.5780000000086147 
20 8 8 0 10 6171.0 1.5779999999940628 
20 9 9 0 10 6171.0 1.5939999999973224 
20 10 10 0 10 6171.0 1.5780000000086147 
20 11 11 0 10 6171.0 1.5929999999934807 
20 12 12 0 10 6171.0 1.6569999999919673 
20 13 13 0 10 6171.0 1.6089999999967404 
20 14 14 0 10 6171.0 1.687000000005355 
20 15 15 0 10 6171.0 1.625 
20 16 16 0 10 6171.0 1.6409999999887077 
20 17 17 0 10 6171.0 1.6560000000026776 
20 18 18 0 10 6171.0 1.6719999999913853 
20 19 19 0 10 6171.0 1.6869999999908032 
20 20 20 0 10 6171.0 1.6559999999881256 
20 21 21 0 10 6171.0 1.6719999999913853 
20 22 22 0 10 6171.0 1.6719999999913853 
20 23 23 0 10 6171.0 1.6869999999908032 
20 24 24 0 10 6171.0 1.687999999994645 
20 25 25 0 10 6171.0 1.6880000000091968 
20 26 26 0 10 6171.0 1.7190000000118744 
20 27 27 0 10 6171.0 1.7339999999967404 
20 28 28 0 10 6171.0 1.6720000000059372 
20 29 29 0 10 6171.0 1.7179999999934807 
20 30 30 0 10 6171.0 1.7189999999973224 
20 31 31 0 10 6171.0 1.7190000000118744 
20 32 32 0 10 6171.0 1.7339999999967404 
20 33 33 0 10 6171.0 1.7810000000026776 
20 34 34 0 10 6171.0 1.75 
20 35 35 0 10 6171.0 1.7659999999887077 
20 36 36 0 10 6171.0 1.764999999999418 
20 37 37 0 10 6171.0 1.7810000000026776 
20 38 38 0 10 6171.0 1.8119999999908032 
20 39 39 0 10 6171.0 1.8279999999940628 
20 40 40 0 10 6171.0 1.875 
20 41 41 0 10 6171.0 1.8280000000086147 
20 42 42 0 10 6171.0 1.8279999999940628 
20 43 43 0 10 6171.0 1.7969999999913853 
20 44 44 0 10 6171.0 1.8289999999979045 
20 45 45 0 10 6171.0 1.812999999994645 
20 46 46 0 10 6171.0 1.812000000005355 
20 47 47 0 10 6171.0 1.8280000000086147 
20 48 48 0 10 6171.0 1.8439999999973224 
20 49 49 0 10 6171.0 1.8279999999940628 
20 50 50 0 10 6171.0 1.875 
20 51 51 0 10 6171.0 1.889999999999418 
20 52 52 0 10 6171.0 1.9060000000026776 
20 53 53 0 10 6171.0 1.9059999999881256 
20 54 54 0 10 6171.0 1.9219999999913853 
20 55 55 0 10 6171.0 1.8910000000032596 
20 56 56 0 10 6171.0 1.9220000000059372 
20 57 57 0 10 6171.0 1.9059999999881256 
20 58 58 0 10 6171.0 1.9219999999913853 
20 59 59 0 10 6171.0 1.9529999999940628 
20 60 60 0 10 6171.0 1.9060000000026776 
20 61 61 0 10 6171.0 1.937000000005355 
20 62 62 0 10 6171.0 1.9530000000086147 
20 63 63 0 10 6171.0 1.9380000000091968 
20 64 64 0 10 6171.0 1.937000000005355 
20 65 65 0 10 6171.0 1.9529999999940628 
20 66 66 0 10 6171.0 1.9529999999940628 
20 67 67 0 10 6171.0 1.9530000000086147 
20 68 68 0 10 6171.0 2.1719999999913853 
20 69 69 0 10 6171.0 2.1559999999881256 
20 70 70 0 10 6171.0 2.1560000000026776 
20 71 71 0 10 6171.0 2.1560000000026776 
20 72 72 0 10 6171.0 2.187999999994645 
20 73 73 0 10 6171.0 2.2339999999967404 
20 74 74 0 10 6171.0 2.2189999999973224 
20 75 75 0 10 6171.0 2.2660000000032596 
20 76 76 0 10 6171.0 2.235000000000582 
20 77 77 0 10 6171.0 2.186999999990803 
20 78 78 0 10 6171.0 2.1569999999919673 
20 79 79 0 10 6171.0 2.25 
20 80 80 0 10 6171.0 2.2339999999967404 
20 81 81 0 10 6171.0 2.25 
20 82 82 0 10 6171.0 2.25 
20 83 83 0 10 6171.0 2.264999999999418 
20 84 84 0 10 6171.0 2.172000000005937 
20 85 85 0 10 6171.0 2.25 
20 86 86 0 10 6171.0 2.2810000000026776 
20 87 87 0 10 6171.0 2.2660000000032596 
20 88 88 0 10 6171.0 2.235000000000582 
20 89 89 0 10 6171.0 2.2960000000020955 
20 90 90 0 10 6171.0 2.2179999999934807 
20 91 91 0 10 6171.0 2.2660000000032596 
20 92 92 0 10 6171.0 2.25 
20 93 93 0 10 6171.0 2.2660000000032596 
20 94 94 0 10 6171.0 2.2810000000026776 
20 95 95 0 10 6171.0 1.7660000000032596 
20 96 96 0 10 6171.0 1.7339999999967404 
20 97 97 0 10 6171.0 1.75 
20 98 98 0 10 6171.0 1.735000000000582 
20 99 99 0 10 6171.0 4.14100000000326 
20 100 100 0 10 6171.0 1.75 
20 101 101 0 10 6171.0 1.764999999999418 
20 102 102 0 10 6171.0 1.75 
20 103 103 0 10 6171.0 1.75 
20 104 104 0 10 6171.0 1.8910000000032596 
20 105 105 0 10 6171.0 1.9059999999881256 
20 106 106 0 10 6171.0 1.8119999999908032 
20 107 107 0 10 6171.0 1.8439999999973224 
20 108 108 0 10 6171.0 1.8440000000118744 
20 109 109 0 10 6171.0 1.875 
20 110 110 0 10 6171.0 1.8590000000112923 
20 111 111 0 10 6171.0 1.8429999999934807 
20 112 112 0 10 6171.0 1.8439999999973224 
20 113 113 0 10 6171.0 1.8279999999940628 
20 114 114 0 10 6171.0 1.8280000000086147 
20 115 115 0 10 6171.0 1.8439999999973224 
20 116 116 0 10 6171.0 1.8279999999940628 
20 117 117 0 10 6171.0 1.8279999999940628 
20 118 118 0 10 6171.0 1.8279999999940628 
20 119 119 0 10 6171.0 1.860000000000582 
20 120 120 0 10 6171.0 1.875 
20 121 121 0 10 6171.0 1.8439999999973224 
20 122 122 0 10 6171.0 1.860000000000582 
20 123 123 0 10 6171.0 1.860000000000582 
20 124 124 0 10 6171.0 1.860000000000582 
20 125 125 0 10 6171.0 1.860000000000582 
20 126 126 0 10 6171.0 1.8430000000080327 
20 127 127 0 10 6171.0 1.875 
20 128 128 0 10 6171.0 1.8289999999979045 
20 129 129 0 10 6171.0 1.860000000000582 
